Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Neural Net,Naive Bayes,Linear SVM
0.6,0.8,0.6,0.8,0.4,0.6,0.4
0.4,0.6,0.8,0.7,0.4,0.7,0.4
0.9,0.8,0.7,0.8,0.4,0.6,0.6
0.7,0.9,0.8,1.0,0.4,0.9,0.3
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.2222222222222222
0.875,0.75,0.75,0.875,0.375,0.75,0.75
0.875,0.75,0.75,0.625,0.375,0.75,0.375
0.75,0.875,0.75,0.75,0.375,0.625,0.625
0.75,0.875,0.75,0.875,0.375,0.875,0.5
0.375,0.75,0.875,1.0,0.375,0.75,0.5
0.875,0.875,0.875,0.875,0.375,0.625,0.625
0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.42857142857142855,0.7142857142857143,0.5714285714285714
0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855
0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714
0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.7142857142857143
0.7142857142857143,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857
0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.8571428571428571
0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857
0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.5714285714285714
0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855
