Decision Tree,Naive Bayes,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.7142857142857143,0.6190476190476191,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.5714285714285714
0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.6666666666666666
0.7142857142857143,0.6666666666666666,0.6190476190476191,0.9047619047619048,0.6666666666666666,0.6190476190476191
0.8571428571428571,0.6666666666666666,0.8571428571428571,0.9523809523809523,0.7619047619047619,0.6666666666666666
0.9047619047619048,0.6190476190476191,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.5714285714285714
0.8,0.65,0.65,0.9,0.7,0.6
0.75,0.6,0.65,0.95,0.75,0.45
0.8,0.65,0.6,0.9,0.7,0.7
0.7,0.6,0.6,0.8,0.8,0.7
0.7,0.65,0.8,0.95,0.75,0.65
0.9,0.65,0.85,0.9,0.65,0.6
0.65,0.65,0.65,0.95,0.65,0.65
0.75,0.65,0.55,0.9,0.7,0.55
0.9,0.65,0.65,0.85,0.75,0.45
0.65,0.65,0.75,0.9,0.6,0.55
0.9,0.65,0.5,0.9,0.7,0.65
0.75,0.65,0.65,0.9,0.65,0.7
0.75,0.65,0.45,0.95,0.65,0.7
0.45,0.65,0.65,0.7,0.7,0.65
0.85,0.65,0.65,0.9,0.6,0.75
0.8,0.65,0.7,0.85,0.6,0.6
0.75,0.65,0.7,0.9,0.7,0.65
0.75,0.65,0.6,0.85,0.8,0.75
0.7,0.65,0.7,0.85,0.75,0.75
0.85,0.65,0.9,0.95,0.75,0.85
0.75,0.65,0.65,0.75,0.75,0.65
0.8421052631578947,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.6842105263157895,0.5789473684210527
0.7894736842105263,0.6842105263157895,0.631578947368421,0.8947368421052632,0.7368421052631579,0.5789473684210527
0.631578947368421,0.6842105263157895,0.6842105263157895,0.8421052631578947,0.7894736842105263,0.7368421052631579
0.8421052631578947,0.6842105263157895,0.7368421052631579,0.9473684210526315,0.7894736842105263,0.7894736842105263
